2025-05-27 12:29:09.013 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2025-05-27 12:29:09.698 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:29:10.374 [main] INFO  c.v.p.g.i.a.in.rest.GameControllerIT - Started GameControllerIT in 2.554 seconds (process running for 21.77)
2025-05-27 12:29:11.222 [main] WARN  c.v.p.g.application.usecases.GetGame - No Game found for id=5
2025-05-27 12:29:11.331 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - Starting GameRepositoryAdapterIT using Java 21.0.6 with PID 13164 (started by rubenhernandez in C:\Users\rubenhernandez\workspace\formacion\videogame-platform\services\game-service)
2025-05-27 12:29:11.331 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - No active profile set, falling back to 1 default profile: "default"
2025-05-27 12:29:11.902 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2025-05-27 12:29:11.934 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection org.postgresql.jdbc.PgConnection@2ef731d4
2025-05-27 12:29:11.934 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2025-05-27 12:29:12.280 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:29:12.760 [main] INFO  c.v.p.g.i.a.o.p.GameRepositoryAdapterIT - Started GameRepositoryAdapterIT in 1.46 seconds (process running for 24.157)
2025-05-27 12:29:12.894 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-27 12:29:12.894 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-27 12:29:12.894 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2025-05-27 12:29:12.909 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2025-05-27 12:29:12.909 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2025-05-27 12:29:12.909 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2025-05-27 12:40:36.445 [main] INFO  c.v.p.g.i.GameStepDefinitions - Starting GameStepDefinitions using Java 21.0.6 with PID 15108 (started by rubenhernandez in C:\Users\rubenhernandez\workspace\formacion\videogame-platform\services\game-service)
2025-05-27 12:40:36.445 [main] INFO  c.v.p.g.i.GameStepDefinitions - The following 1 profile is active: "test"
2025-05-27 12:40:41.580 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2025-05-27 12:40:41.580 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-27 12:40:41.580 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-05-27 12:40:41.690 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-27 12:40:42.196 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-27 12:40:42.884 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:gamedb user=SA
2025-05-27 12:40:42.884 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-27 12:40:46.142 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:40:48.275 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2025-05-27 12:40:48.338 [main] INFO  c.v.p.g.i.GameStepDefinitions - Started GameStepDefinitions in 13.469 seconds (process running for 24.431)
2025-05-27 12:40:48.868 [http-nio-auto-1-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-27 12:40:48.868 [http-nio-auto-1-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-27 12:40:48.868 [http-nio-auto-1-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-05-27 12:40:49.391 [main] INFO  c.tngtech.archunit.core.PluginLoader - Detected Java version 21.0.6
2025-05-27 12:40:53.550 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-27 12:40:53.554 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-27 12:41:02.919 [main] INFO  c.v.platform.game.GameApplicationIT - Starting GameApplicationIT using Java 21.0.6 with PID 18680 (started by rubenhernandez in C:\Users\rubenhernandez\workspace\formacion\videogame-platform\services\game-service)
2025-05-27 12:41:02.919 [main] INFO  c.v.platform.game.GameApplicationIT - The following 1 profile is active: "test"
2025-05-27 12:41:08.321 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-27 12:41:09.330 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:gamedb user=SA
2025-05-27 12:41:09.330 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-27 12:41:17.897 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:41:31.690 [main] INFO  c.v.platform.game.GameApplicationIT - Started GameApplicationIT in 31.042 seconds (process running for 35.78)
2025-05-27 12:41:59.999 [main] INFO  c.v.p.g.i.a.in.rest.GameControllerIT - Starting GameControllerIT using Java 21.0.6 with PID 18680 (started by rubenhernandez in C:\Users\rubenhernandez\workspace\formacion\videogame-platform\services\game-service)
2025-05-27 12:42:00.014 [main] INFO  c.v.p.g.i.a.in.rest.GameControllerIT - No active profile set, falling back to 1 default profile: "default"
2025-05-27 12:42:15.575 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2025-05-27 12:42:17.366 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection org.postgresql.jdbc.PgConnection@4c3ec26
2025-05-27 12:42:17.366 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2025-05-27 12:42:19.766 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-27 12:42:23.691 [main] INFO  c.v.p.g.i.a.in.rest.GameControllerIT - Started GameControllerIT in 24.941 seconds (process running for 87.786)
2025-05-27 12:42:27.244 [main] WARN  c.v.p.g.application.usecases.GetGame - No Game found for id=5
